id,url,tweet,date,retweetCount,replyCount,likeCount,quoteCount,viewCount,inReplyToUsername,author/followers,author/following,author/userName
1897302470306750500,https://x.com/x_eaa9tkirr/status/1897302470306750521,@symplyDAPO @cardtonic Trading gift cards can reveal hidden treasures. 💰,2025-03-05 15:05:00,0,0,0,0,142.0,symplyDAPO,151,231,x_eaa9tkirr
1897299492287996000,https://x.com/FuK_Yeah/status/1897299492287996030,@symplyDAPO @cardtonic Love this story! You're killing it! 😄,2025-03-05 14:53:00,0,0,0,0,155.0,symplyDAPO,1066,66,FuK_Yeah
1897299118277714000,https://x.com/TeejayMaya/status/1897299118277713975,@iamAbiodunAA Try @cardtonic so far so good,2025-03-05 14:52:00,0,0,2,0,94.0,iamAbiodunAA,1580,5020,TeejayMaya
1897297372151210000,https://x.com/Iamkingsleyf/status/1897297372151210080,"@copy_null @iamAbiodunAA My coz been mention cardtonic or something.
The thing is, any USD card will work work but you need to change your store to US and use US address that is easy if you go with Geegpay or grey",2025-03-05 14:45:00,0,1,1,0,300.0,copy_null,3320,2563,Iamkingsleyf
1897289581634154800,https://x.com/Mustapha_mm1/status/1897289581634154847,@symplyDAPO @cardtonic Noted,2025-03-05 14:14:00,0,0,0,0,45.0,symplyDAPO,2917,3141,Mustapha_mm1
1897287647590277400,https://x.com/mola1357667371/status/1897287647590277496,@symplyDAPO @cardtonic Egbon just do me 10k make I eat good with my mama for here self,2025-03-05 14:06:00,0,0,0,0,215.0,symplyDAPO,3,87,mola1357667371
1897286735354380800,https://x.com/MizAnjie/status/1897286735354380761,@symplyDAPO @cardtonic Will check it out,2025-03-05 14:03:00,0,0,1,0,186.0,symplyDAPO,44930,203,MizAnjie
1897285084262347000,https://x.com/Alaba589/status/1897285084262347121,@symplyDAPO @cardtonic Dapsy latest Ego foreign 🔥🔥🔥,2025-03-05 13:56:00,0,0,1,0,334.0,symplyDAPO,35655,3010,Alaba589
1897285054340157400,https://x.com/_itarex/status/1897285054340157445,@symplyDAPO @cardtonic Your friend sabi,2025-03-05 13:56:00,0,0,0,0,185.0,symplyDAPO,20101,6108,_itarex
1897284373634003000,https://x.com/I_Chinemelum/status/1897284373634002988,"@symplyDAPO @cardtonic Make men taste this food nau, egbon.
Since morning https://t.co/2xpcg5A6MS",2025-03-05 13:53:00,0,0,0,0,96.0,symplyDAPO,2253,2712,I_Chinemelum
1897284318101430500,https://x.com/Wizebaba/status/1897284318101430410,@symplyDAPO @cardtonic I use them,2025-03-05 13:53:00,0,0,1,0,371.0,symplyDAPO,77964,2711,Wizebaba
1897282552026763300,https://x.com/Officer_little/status/1897282552026763318,"@symplyDAPO @cardtonic Amazing opportunity, enter to earn free 12500 daily
https://t.co/ZGwncdG8w2",2025-03-05 13:46:00,0,0,0,0,179.0,symplyDAPO,490,605,Officer_little
1897282130113388800,https://x.com/symplyDAPO/status/1897282130113388869,"I Billed a friend of mine in US for some edits and he sent me $105 USA Foot Locker gift card today. Omo I rushed to @cardtonic to trade it for ₦1,085/1$.😍😍

Today I am eating good 💃💃💃

This their #MoneyMarch promo makes sense😍 #UseCardtonic https://t.co/y39HQsfDbA",2025-03-05 13:44:00,24,18,110,0,24805.0,,307465,11960,symplyDAPO
1897249525385068800,https://x.com/haloverrar/status/1897249525385068841,"@cardtonic @symplyDAPO Your customer service can’t do shit about it, they lied it’s a bad asset. A whopping sum of $1k",2025-03-05 11:35:00,0,0,0,0,12.0,cardtonic,1296,2140,haloverrar
1897243187464561000,https://x.com/don_chitex/status/1897243187464560849,"@cardtonic @symplyDAPO Boss run me 5k
You na Big name https://t.co/hc9ftadacd",2025-03-05 11:09:00,0,0,0,0,4.0,cardtonic,2562,4162,don_chitex
1897234093735338200,https://x.com/don_chitex/status/1897234093735338264,@cardtonic @symplyDAPO You mean 5 likes right?,2025-03-05 10:33:00,0,1,1,0,13.0,cardtonic,2562,4162,don_chitex
1897223790465339400,https://x.com/chigozie_nsn/status/1897223790465339430,@cardtonic Give me my money joor😭 https://t.co/yTbtjslaM1,2025-03-05 09:52:00,0,1,0,0,8.0,cardtonic,106,127,chigozie_nsn
1897176668281950500,https://x.com/felafunk/status/1897176668281950505,@KingWestford Sell it on cardtonic. No enter anybody dm,2025-03-05 06:45:00,0,0,0,0,273.0,KingWestford,120,126,felafunk
1897140931155124500,https://x.com/Akinjoshua2017/status/1897140931155124525,@symplyDAPO @cardtonic This is nice,2025-03-05 04:23:00,0,0,0,0,22.0,symplyDAPO,43426,15663,Akinjoshua2017
1896980671127806200,https://x.com/toolzmoney/status/1896980671127806320,@symplyDAPO @cardtonic Thjs is good news 🙌,2025-03-04 17:46:00,0,0,0,0,32.0,symplyDAPO,293613,1338,toolzmoney
1896978182106132500,https://x.com/Alaba589/status/1896978182106132487,@symplyDAPO @cardtonic Better update don drop.,2025-03-04 17:36:00,0,0,0,0,26.0,symplyDAPO,35655,3010,Alaba589
1896973854951792600,https://x.com/Ewaoluwa_Aa/status/1896973854951792762,@ms_ifee Cardtonic,2025-03-04 17:19:00,0,1,0,0,64.0,ms_ifee,3457,1515,Ewaoluwa_Aa
1896967690574815500,https://x.com/olamydefadilat/status/1896967690574815614,@symplyDAPO @cardtonic Done ✅👍,2025-03-04 16:55:00,0,0,0,0,14.0,symplyDAPO,85,332,olamydefadilat
1896955550132486100,https://x.com/Toshoofbalogun/status/1896955550132486169,@symplyDAPO @cardtonic Done ✅,2025-03-04 16:07:00,0,0,0,0,15.0,symplyDAPO,98,322,Toshoofbalogun
1896950964525109800,https://x.com/ilerioluwa_16/status/1896950964525109689,@symplyDAPO @cardtonic Let go,2025-03-04 15:48:00,0,0,1,0,9.0,symplyDAPO,76,461,ilerioluwa_16
1896940894622007800,https://x.com/Mc_Phils/status/1896940894622007684,@symplyDAPO @cardtonic Lets go,2025-03-04 15:08:00,0,0,0,0,227.0,symplyDAPO,134035,11,Mc_Phils
1896936355365839000,https://x.com/Deathgame164/status/1896936355365839084,@symplyDAPO @cardtonic Gimme client wey fi dey pay me so I can trade,2025-03-04 14:50:00,0,0,1,0,20.0,symplyDAPO,470,472,Deathgame164
1896936113182564400,https://x.com/Deathgame164/status/1896936113182564464,@symplyDAPO @cardtonic Ok baby,2025-03-04 14:49:00,0,0,0,0,14.0,symplyDAPO,470,472,Deathgame164
